ID;Nombre del Producto;Tipo de Solución;Línea / Categoría;Segmento;Estado;Listo para Propuesta;Tecnologías Utilizadas;Sectores Económicos de Aplicación;Tags del Portafolio;Lema / Slogan;Descripción General;Casos de Uso Principales;Link de Despliegue;Repositorio GitHub;Enlace Video Demo;Enlace Presentación
GL-038;Violencia Intrafamiliar en Colombia;Tablero Analítico Epidemiológico y de Convivencia;Dashboards & Analítica;Sector Público;En línea;No;Tableau Public, Datos Abiertos de Policía Nacional, Series Temporales;Sector Público, Ministerio de Igualdad / ICBF, Secretarías de la Mujer, Policía Nacional;Seguridad, Social, Familia, Policía, Tableau;Radiografía nacional de la violencia en los hogares;Visualización analítica con datos de la Policía Nacional sobre denuncias de violencia intrafamiliar por departamento, municipio, grupo etario y género.;Diseño de rutas de prevención de violencia de género e intrafamiliar focalizadas por municipio.;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/Datos-Polica/Violenciaintrafamiliar;NA;NA;NA
GL-039;Recursos hospitalarios por cada 100.000 habitantes;Dashboard de Capacidad e Infraestructura de Salud Pública;Dashboards & Analítica;Sector Público;En línea;No;Tableau Public, Registro Especial de Prestadores de Servicios de Salud (REPS), MinSalud;Ministerio de Salud, Secretarías Departamentales de Salud, EPS, Gremios de Clínicas (ACHC);Salud, Hospitales, Gobierno, Capacidad Hospitalaria, Tableau;Capacidad del sistema de salud en el territorio;Dashboard que mapea la disponibilidad de camas hospitalarias, UCI, ambulancias y personal médico por departamento frente a la densidad poblacional.;Evaluación de déficit de camas de cuidados intensivos e intermedias por región geográfica.;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/Recursoshospitalariosporcada100_00habitantes-2022/Dashboard1;NA;NA;NA
GL-040;Registros de la Base Única de afiliados - Adres - Mayo 2025;Tablero de Aseguramiento y Cobertura en Salud;Dashboards & Analítica;Sector Público;En línea;No;Tableau Public, Microdatos BDUA - ADRES, Análisis Demográfico;ADRES, Superintendencia Nacional de Salud, Empresas Promotoras de Salud (EPS), Aseguradoras;Salud, Aseguramiento, Gobierno, ADRES, EPS, Tableau;Estructura del aseguramiento en salud en Colombia;Análisis de afiliación al Sistema General de Seguridad Social en Salud: régimen contributivo vs. subsidiado, pirámide de edad y cobertura departamental.;Monitoreo del balance entre régimen contributivo y subsidiado, y cálculo de UPC por grupo etario.;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/RegistrosdelaBasedeDatosnicadeAfiliados-ADRES-Mayo2025/Perfilesdelosafiliados;NA;NA;NA
GL-041;Envejecimiento poblacional en Colombia por Sexo y Área;Historia Interactiva de Datos Demográficos y Transición Etaria;Dashboards & Analítica;Sector Público;En línea;No;Tableau Story Points, Proyecciones DANE, Modelado Demográfico;Departamento Nacional de Planeación (DNP), Fondos de Pensiones, Sector Salud, Gerontología;Demografía, Salud, Social, Envejecimiento, Tableau;Transición demográfica y territorio;Historia interactiva sobre las curvas de envejecimiento y pirámides poblacionales urbanas y rurales en Colombia.;Planificación a largo plazo de sistemas de cuidado, capacidad pensional y servicios para el adulto mayor.;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/EnvejecimientopoblacionalenColombiaporSexoyArea/Historia1;NA;NA;NA
GL-042;Panorama de la Extorsión en Colombia (2010-2024);Dashboard Longitudinal de Inteligencia Criminológica;Dashboards & Analítica;Sector Público;En línea;No;Tableau Public, Bases de Datos de GAULA / Policía Nacional, Series de Tiempo;Ministerio de Defensa, Policía Nacional / GAULA, Gremios del Comercio (Fenalco, Fedegan);Seguridad, Justicia, Policía, Extorsión, Tableau;Evolución de un delito de alto impacto;Análisis longitudinal de denuncias, modalidades y focos territoriales del delito de extorsión a lo largo de 14 años.;Identificación de hotspots de extorsión carcelaria vs. presencial y temporadas de alta incidencia.;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/PanoramadelaextorsinenColombia2010-2024/Dashboard1;NA;NA;NA
GL-043;Delitos Sexuales en Colombia;Tablero Analítico de Victimización y Protección Ciudadana;Dashboards & Analítica;Sector Público;En línea;No;Tableau Public, Estadísticas del SPOA / Fiscalía / Policía;Fiscalía General de la Nación, ICBF, Comisarías de Familia, Organizaciones de DDHH;Seguridad, Justicia, Social, Protección, Tableau;Evidencia para la protección ciudadana;Mapeo y caracterización de reportes de delitos sexuales para el diseño de políticas de prevención y justicia focalizada.;Focalización de campañas de prevención y fortalecimiento de rutas de atención de víctimas en infancia y juventud.;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/DelitossexualesenColombia_17300861605130/Dashboard1;NA;NA;NA
GL-044;El Panorama del envejecimiento poblacional en Colombia;Dashboard Estratégico de Indicadores de Envejecimiento y Cuidado;Dashboards & Analítica;Sector Público;En línea;No;Tableau Public, Índices de Dependencia Demográfica, DANE;Sector Público Social, Cajas de Compensación Familiar, Industria de Seguros de Vida;Demografía, Salud, Social, Adulto Mayor, Tableau;Retos de la longevidad y servicios sociales;Dashboard integral con indicadores de dependencia, índice de envejecimiento y distribución departamental.;Estimación del índice de envejecimiento para diseño de centros de bienestar y políticas de cuidado.;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/ElpanoramadelenvejecimientopoblacionalenColombia/Dashboard1;NA;NA;NA
GL-045;Suicidios en Colombia 2023-2024;Tablero de Vigilancia Epidemiológica en Salud Mental;Dashboards & Analítica;Sector Público;En línea;No;Tableau Public, Registros de Medicina Legal / SIVIGILA, Análisis Geoespacial;Ministerio de Salud, Secretarías de Salud, Universidades (Bienestar), Organizaciones de Salud Mental;Salud, Social, Prevención, Salud Mental, Tableau;Datos para la salud mental pública;Monitoreo descriptivo y espacial de eventos de salud mental y suicidio reportados en el territorio nacional.;Identificación de grupos de edad en riesgo y focos territoriales para despliegue de líneas de apoyo psicológico.;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/Suicidios-2023-2024/Dashboard12;NA;NA;NA
GL-046;Llamadas totales al NUSE/123 por UPZ en Bogotá;Dashboard Geográfico de Incidentes y Despacho de Emergencias;Dashboards & Analítica;Sector Público;En línea;No;Tableau Public, Datos del Centro de Comando, Control, Comunicaciones y Cómputo (C4);Secretaría de Seguridad de Bogotá, Centro de Comando C4, Policía Metropolitana, Bomberos;Emergencias, Seguridad, Ciudad, Línea 123, Tableau;Llamadas de emergencia a escala barrial;Distribución geográfica por Unidades de Planeamiento Zonal (UPZ) de llamadas atendidas por la línea única de emergencias de Bogotá.;Evaluación barrial del volumen de reportes por riñas, emergencias médicas y situaciones de seguridad.;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/LlamadastotalesalNUSEporUPZ/Vistadistrital;NA;NA;NA
GL-047;Precios y productividad del arroz - Forecasting;Tablero Predictivo de Precios Agropecuarios y Forecasting;Dashboards & Analítica;Sector Público;En línea;No;Tableau Public, Modelos ARIMA / Exponential Smoothing, Datos SIPSA / DANE;Ministerio de Agricultura, Fedearroz / Gremios Agrícolas, Corabastos / Centrales de Abastos;Agro, Comercio, Economía, Forecasting, Precios Arroz, Tableau;Pronóstico de precios y cosechas agrícolas;Modelo predictivo de series temporales de precios mayoristas y rendimiento por hectárea en el sector arrocero.;Anticipación de fluctuaciones de precios del arroz mayorista y planeación de siembras e inventarios.;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/Dashboardarroz/Dashboard1;NA;NA;NA
GL-048;Siniestralidad vial en Bogotá - Forecasting;Tablero Predictivo de Siniestralidad y Tránsito Urbano;Dashboards & Analítica;Sector Público;En línea;No;Tableau Public, Modelos Predictivos Prophet / ARIMA, Secretaría de Movilidad;Secretaría Distrital de Movilidad, Agencia Nacional de Seguridad Vial (ANSV), Aseguradoras (SOAT);Movilidad, Seguridad, Ciudad, Forecasting, Tránsito, Tableau;Modelos predictivos de accidentalidad vial;Predicción de eventos de siniestros viales en corredores viales clave de Bogotá mediante técnicas de forecasting.;Previsión de accidentalidad por día de la semana y época del año para despliegue de operativos viales.;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/Siniestralidadvial-2019-2023V2-forecasting/SiniestralidadvialenBogotD_C_-Modelopredictivo-2019-2023;NA;NA;NA
GL-049;Siniestralidad vial en Bogotá - Siniestros;Dashboard Histórico y Tipológico de Siniestros Viales;Dashboards & Analítica;Sector Público;En línea;No;Tableau Public, Datos Abiertos de Movilidad Bogotá;Movilidad Urbana, Empresas de Transporte Masivo, Policía de Tránsito;Movilidad, Seguridad, Ciudad, Accidentes, Tableau;Registro y causas de accidentes de tránsito;Visualización histórica 2019-2023 de siniestros viales clasificados por tipo de vehículo, horario y localidad.;Análisis de correlación entre tipo de vehículo (moto, bus, particular) y causas principales del siniestro.;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/Siniestralidadvial-2019-2023V2-Siniestros/SiniestralidadvialenBogotD_C_-2019-2023;NA;NA;NA
GL-050;Siniestralidad vial en Bogotá - Víctimas;Dashboard de Vulnerabilidad y Mortalidad Vial;Dashboards & Analítica;Sector Público;En línea;No;Tableau Public, Datos de Fatalidades y Lesionados de Medicina Legal / Movilidad;Sector Salud (Urgencias), Agencia Nacional de Seguridad Vial, Colectivos de Movilidad Sostenible;Movilidad, Salud, Seguridad, Víctimas, Tableau;Perfil de actores viales y lesionados;Tablero enfocado en peatones, ciclistas y motociclistas afectados en eventos viales en la capital.;Priorización de infraestructura protegida para actores viales vulnerables (ciclorrutas, cruces peatonales).;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/Siniestralidadvial-2019-2023V2-Vctimas/VctimasdelasiniestralidadvialenBogotD_C_-2019-2023;NA;NA;NA
GL-051;Siniestralidad vial en Bogotá - Análisis espacial;Dashboard Espacial y Mapeo de Puntos Críticos (Blackspots);Dashboards & Analítica;Sector Público;En línea;No;Tableau Geoanalítica, Kernel Density Estimation (KDE), Capas GIS de Bogotá;Instituto de Desarrollo Urbano (IDU), Secretaría de Movilidad, Concesiones Viales;Movilidad, Ciudad, Urbanismo, Mapas de Calor, Tableau;Puntos críticos e intersecciones de alto riesgo;Análisis de concentración geoespacial de accidentes e identificación de tramos viales prioritarios para intervención.;Identificación de intersecciones viales que requieren rediseño semafórico o pacificación de tráfico.;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/Siniestralidadvial-2019-2023V2-Anlisisespacial/SiniestralidadvialenBogotD_C_-2019-2023-Anlisisespacial;NA;NA;NA
GL-052;Llamadas totales al NUSE/123 por UPZ en Bogotá - Forecasting;Tablero Predictivo de Demanda de Recursos de Emergencia;Dashboards & Analítica;Sector Público;En línea;No;Tableau Public, Modelado Predictivo SARIMA / Prophet, Datos C4;Centro de Despacho C4, Secretaría de Salud (CRUE), Policía de Bogotá;Emergencias, Seguridad, Ciudad, Forecasting, NUSE 123, Tableau;Pronóstico de demanda de atención de emergencias;Modelos predictivos de volumen de llamadas al NUSE por UPZ para optimizar el despliegue de patrullas y ambulancias.;Dimensionamiento de turnos de operadores del 123 y asignación preventiva de ambulancias en zonas de alta demanda.;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/LlamadasalNUSEporUPZ/VistaporUPZ;NA;NA;NA
GL-053;Análisis Clínica Universidad de la Sabana;Estudio Predictivo y Modelo ML de Demanda Hospitalaria y Facturación;Salud & Geoanalítica;Sector Público;En línea;No;Python, ARIMA, Facebook Prophet, scikit-learn, Pandas, PDF Reporting;Sector Hospitalario, Clínicas Privadas, Redes Prestadoras de Salud (IPS);Salud, Hospitales, Machine Learning, ARIMA, Prophet, Gestión;Anticipa la demanda, optimiza los recursos;Sistema ML de series de tiempo (ARIMA y Prophet) con MAE inferior a 10% para pronosticar el número de pacientes NO-EPS y la facturación semanal de la Clínica.;Pronóstico de facturación semanal y flujo de caja por servicios médicos particulares y convenios corporativos.;NA;NA;NA;assets/projects/analisis_clinica.pdf
GL-054;Geoanálisis Clínica Universidad de la Sabana;Estudio de Inteligencia de Mercado Geoespacial para Salud;Salud & Geoanalítica;Sector Público;En línea;No;QGIS / GeoPandas, Modelos Gravitacionales de Huff, Datos Sociodemográficos DANE;Clínicas y Hospitales, Centros de Especialistas, Aseguradoras de Medicina Prepagada;Salud, Territorio, Geoanalítica, Hospitales, Machine Learning;Encuentra al paciente antes de que llegue;Análisis predictivo geoespacial de la ubicación y patrones de desplazamiento de potenciales usuarios de servicios de salud privados en Sabana Centro.;Identificación de municipios y zonas residenciales con mayor potencial de demanda de medicina ambulatoria.;NA;NA;NA;assets/projects/geoanalisis_clinica.pdf
GL-055;Observatorio Social de Zipaquirá - OSZ;Diseño Metodológico e Informe Estructurado de Observatorio Social;Políticas Públicas & Territorio;Sector Público;En línea;No;Metodología de Indicadores Sociales, Python, ReportLab, Análisis de Encuestas;Alcaldías Municipales, Secretarías de Desarrollo Social, Observatorios Territoriales;Gobierno, Social, Ciudad, Zipaquirá, Observatorio;Alcaldía de Zipaquirá;Desarrollo y diseño del primer observatorio social de la Región Sabana Centro para el seguimiento riguroso de indicadores sociales y bienestar.;Evaluación de pobreza multidimensional, empleo informal y vulnerabilidad social en Zipaquirá.;NA;NA;NA;assets/projects/osz.pdf
GL-056;ELA-NOM;Metodología y Modelo Predictivo Electoral Basado en Big Data Social;Electoral & Pronóstico;Sector Público;En línea;No;NLP, Minería de Redes Sociales (X/Twitter/TikTok), Algoritmo Estadístico ELA-NOM, Python;Consultoría Política, Medios de Comunicación, Partidos Políticos, Campañas Electorales;Política, Medios, Electoral, Pronóstico, Minería de Redes;Pronostica elecciones con redes sociales;Aplicación de una novedosa metodología de pronóstico electoral (ELA-NOM) basada en minería de redes sociales con error predictivo inferior al 9%.;Pronóstico de intención de voto y tendencias electorales sin sesgos de muestreo telefónico tradicional.;NA;NA;NA;assets/projects/elanom.pdf
GL-057;Doctorado en IA;Programa Académico Doctoral de Alta Investigación;Educación & Formación;Transversal;En línea;No;Deep Learning, Redes Neuronales, Ética de IA, Políticas Basadas en Datos;Educación Superior, Sector Público (MinCiencias), Centros de I+D+i Corporativos;Educación, Investigación, Gobierno, Posgrado, Doctorado;Investiga el futuro, lidera el cambio;Programa doctoral de investigación de vanguardia en inteligencia artificial, enfocado en soluciones para el sector público y formulación de políticas basadas en evidencia.;Formación de investigadores de nivel PhD para liderar la transformación con IA en Colombia y la región.;https://www.unisabana.edu.co/programas/posgrados/doctorado-en-inteligencia-artificial/;NA;NA;NA
GL-058;Maestría en IA;Programa de Posgrado y Maestría Profesional;Educación & Formación;Transversal;En línea;No;Machine Learning Aplicado, LLMs, MLOps, Gobierno Digital;Sector Público y Privado, Directores de Tecnología (CTO/CDO), Consultoría Estratégica;Educación, Gobierno, Empresa, Maestría, Analítica;Domina la IA, transforma tu sector;Programa de posgrado en inteligencia artificial y analítica aplicada con énfasis en gobierno digital, política pública y gestión estratégica organizacional.;Capacitación de líderes ejecutivos y técnicos para implementar IA en organizaciones públicas y privadas.;https://www.unisabana.edu.co/programas/posgrados/maestria-en-inteligencia-artificial-aplicada/;NA;NA;NA
GL-059;Pregrado en IA;Programa Universitario de Pregrado Profesional;Educación & Formación;Transversal;En línea;No;Python, PyTorch, Modelado Matemático, Bases de Datos, Algoritmos;Industria Tecnológica, Startups, Sector Financiero, Educación Superior;Educación, Tecnología, Ciencia, Pregrado, Ciencia de Datos;Aprende IA desde la raíz;Programa de pregrado en Ciencia de Datos e Inteligencia Artificial de la Universidad de La Sabana. Formación integral en modelos, algoritmos y aplicaciones reales.;Formación de ingenieros y científicos de datos desde pregrado con enfoque práctico y ético.;https://www.unisabana.edu.co/programas/carreras/ingenieria-en-inteligencia-artificial/;NA;NA;NA
GL-060;Bootcamps en IA;Programa Intensivo de Educación Continua y Upskilling;Educación & Formación;Transversal;En línea;No;Prompt Engineering, Automatización con IA, No-Code/Low-Code, GenAI Tools;Sector Corporativo, Entidades Públicas, Pymes, Profesionales Independientes;Educación, Empresa, Capacitación, Bootcamp, Formación Ejecutiva;Habilidades reales, en tiempo récord;Programas técnicos intensivos de capacitación en IA para profesionales y directivos del sector público y privado, orientados a casos de uso inmediatos.;Entrenamiento rápido de equipos de trabajo en productividad, automatización de tareas y uso de herramientas de IA.;https://www.unisabana.edu.co/programas/educacion-continua/bootcamps-ia/;NA;NA;NA
